CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residential,1,PAL,PALLISER,SOUTH,ESTABLISHED,1960s/1970s,2478896.2968750,6456.344627,Polygon,-114.1121473,50.9667673854943
Residential,1,PAN,PANORAMA HILLS,NORTH,COMPLETE,2010s,16087157.3906250,18728.42651,Polygon,-114.088066,51.1597128161622
Residential,1,PAT,PATTERSON,WEST,ESTABLISHED,1980s/1990s,5181534.1015630,12514.11721,Polygon,-114.1771373,51.0639380468526
Residential,1,PCK,PINE CREEK,SOUTH,DEVELOPING,BUILDING OUT,6247862.2656250,16028.43798,Polygon,-114.0678687,50.8563105205434
Industrial,2,PEG,PEGASUS,NORTHEAST,N/A,EMPLOYMENT,646438.5937500,3649.788035,Polygon,-114.0064889,51.0944788006441
Residential,1,PEN,PENBROOKE MEADOWS,EAST,ESTABLISHED,1960s/1970s,5210831.0312500,9379.539314,Polygon,-113.9476923,51.0458514350009
Residential,1,PIN,PINERIDGE,NORTHEAST,ESTABLISHED,1960s/1970s,6680894.2500000,10340.53664,Polygon,-113.946765,51.0742601108998
Residential,1,PKD,PARKDALE,CENTRE,ESTABLISHED,1950s,2655665.9375000,8332.625441,Polygon,-114.1384761,51.0600047100840
Residential,1,PKH,PARKHILL,CENTRE,ESTABLISHED,1950s,1659405.1015630,6439.777785,Polygon,-114.0655351,51.0181993962589
Residential,1,PKL,PARKLAND,SOUTH,ESTABLISHED,1960s/1970s,4528799.8906250,10929.26405,Polygon,-114.03129,50.9233988887666
Residential,1,POI,POINT MCKAY,CENTRE,ESTABLISHED,1960s/1970s,970588.4375000,3981.3632,Polygon,-114.1461458,51.0595399795092
Residential,1,PUM,PUMP HILL,SOUTH,ESTABLISHED,1960s/1970s,2380841.3984380,6327.226978,Polygon,-114.1007337,50.9668303506403
Residential,1,QLD,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s,3914616.6718750,7902.53094,Polygon,-114.0230192,50.9385145005932
