Business,Address,Annual Consumption,Unit,City,Province,Country,Year
3007 28A ST SE HOUSING,3011 32A ST SE,94,GJ,Calgary,Alberta,Canada,2021
3008 29A ST SE HOUSING,3009 30A ST SE,116,GJ,Calgary,Alberta,Canada,2021
3009 & 3011 32A ST SE HOUSING,3012 33A ST SE,204,GJ,Calgary,Alberta,Canada,2021
3009 30A ST SE HOUSING,3011 28A ST SE,127,GJ,Calgary,Alberta,Canada,2021
3010 & 3012 33A ST SE HOUSING,3011 30A ST SE,207,GJ,Calgary,Alberta,Canada,2021
3011 28A ST SE HOUSING,3012 29A ST SE,95,GJ,Calgary,Alberta,Canada,2021
3011 30A ST SE HOUSING,303 FALCONRIDGE CR NE,229,GJ,Calgary,Alberta,Canada,2021
3012 29A ST SE HOUSING,3013 28A ST SE,258,GJ,Calgary,Alberta,Canada,2021
301-313 FALCONRIDGE CR NE HOUSING,3015 32A ST SE,573,GJ,Calgary,Alberta,Canada,2021
3013 28A ST SE HOUSING,3014 29A ST SE,242,GJ,Calgary,Alberta,Canada,2021
3013 & 3015 32A ST SE HOUSING,3016 33A ST SE,223,GJ,Calgary,Alberta,Canada,2021
3014 29A ST SE HOUSING,3016 23 AV SW,175,GJ,Calgary,Alberta,Canada,2021
3014 & 3016 33A ST SE HOUSING,3019 32A ST SE,239,GJ,Calgary,Alberta,Canada,2021
3016-3028 23 AV SW HOUSING,3017 30A ST SE,326,GJ,Calgary,Alberta,Canada,2021
3017 & 3019 32A ST SE HOUSING,3020 33A ST SE,311,GJ,Calgary,Alberta,Canada,2021
3017 30A ST SE HOUSING,3019 28A ST SE,177,GJ,Calgary,Alberta,Canada,2021
3018 & 3020 33A ST SE HOUSING,3020 29A ST SE,209,GJ,Calgary,Alberta,Canada,2021
3019 28A ST SE HOUSING,3021 30A ST SE,246,GJ,Calgary,Alberta,Canada,2021
3020 29A ST SE HOUSING,30 TEMPLEBY WY NE,190,GJ,Calgary,Alberta,Canada,2021
3021 30A ST SE HOUSING,#30-35 2730 19 AV SE,226,GJ,Calgary,Alberta,Canada,2021
30 & 32 TEMPLEBY WY NE HOUSING,303 57 AV SW,179,GJ,Calgary,Alberta,Canada,2021
#30-35 2730 19 AV SE HOUSING,308 15 AV NE,287,GJ,Calgary,Alberta,Canada,2021
303 57 AV SW HOUSING,315 WHITLOCK WY NE,7890,GJ,Calgary,Alberta,Canada,2021
308 15 AV NE HOUSING,31 DEERPOINT RD SE,970,GJ,Calgary,Alberta,Canada,2021
313 & 315 WHITLOCK WY NE HOUSING,315 FALCONRIDGE CR NE,184,GJ,Calgary,Alberta,Canada,2021
31 & 35 DEERPOINT RD SE HOUSING,316 20 AV SW,177,GJ,Calgary,Alberta,Canada,2021
315-325 FALCONRIDGE CR NE HOUSING,321 WHITLOCK WY NE,424,GJ,Calgary,Alberta,Canada,2021
316 20 AV SW HOUSING,31 FAY RD SE,1580,GJ,Calgary,Alberta,Canada,2021
319 & 321 WHITLOCK WY NE HOUSING,3202 30A AV SE,193,GJ,Calgary,Alberta,Canada,2021
31 FAY RD SE HOUSING,3202 32A AV SE,100,GJ,Calgary,Alberta,Canada,2021
3202 30A AV SE HOUSING,3203 33A AV SE,72,GJ,Calgary,Alberta,Canada,2021
3202 32A AV SE HOUSING,3206 32A AV SE,94,GJ,Calgary,Alberta,Canada,2021
3203 33A AV SE HOUSING,3207 31A AV SE,88,GJ,Calgary,Alberta,Canada,2021
3206 32A AV SE HOUSING,3207 33A AV SE,79,GJ,Calgary,Alberta,Canada,2021
3207 31A AV SE HOUSING,3208 32A AV SE,137,GJ,Calgary,Alberta,Canada,2021
3207 33A AV SE HOUSING,3209 31A AV SE,75,GJ,Calgary,Alberta,Canada,2021
3208 32A AV SE HOUSING,3211 33A AV SE,206,GJ,Calgary,Alberta,Canada,2021
3209 & 3211 31A AV SE HOUSING,3212 32A AV SE,119,GJ,Calgary,Alberta,Canada,2021
3211 33A AV SE HOUSING,3213 33A AV SE,221,GJ,Calgary,Alberta,Canada,2021
3212 32A AV SE HOUSING,3213A 31A AV SE,198,GJ,Calgary,Alberta,Canada,2021
3213 33A AV SE HOUSING,3215 31A AV SE,207,GJ,Calgary,Alberta,Canada,2021
3213A & 3213B 31A AV SE HOUSING,3216 30A AV SE,176,GJ,Calgary,Alberta,Canada,2021
3215 & 3217 31A AV SE HOUSING,3216 32A AV SE,149,GJ,Calgary,Alberta,Canada,2021
3216 30A AV SE HOUSING,3217 33A AV SE,239,GJ,Calgary,Alberta,Canada,2021
3216 32A AV SE HOUSING,3219 31A AV SE,242,GJ,Calgary,Alberta,Canada,2021
3217 33A AV SE HOUSING,3222 30A AV SE,214,GJ,Calgary,Alberta,Canada,2021
3219 31A AV SE HOUSING,3229 56 ST NE,221,GJ,Calgary,Alberta,Canada,2021
3222 30A AV SE HOUSING,325 10 ST NW,114,GJ,Calgary,Alberta,Canada,2021
3229 56 ST NE HOUSING,327 FALCONRIDGE CR NE,1331,GJ,Calgary,Alberta,Canada,2021
325 10 ST NW HOUSING,327 FALSHIRE DR NE,4869,GJ,Calgary,Alberta,Canada,2021
327-339 FALCONRIDGE CR NE HOUSING,32 RADCLIFFE CO SE,601,GJ,Calgary,Alberta,Canada,2021
327 FALSHIRE DR NE HOUSING,330 2 AV NE,130,GJ,Calgary,Alberta,Canada,2021
32 RADCLIFFE CO SE HOUSING,333 17 AV NW,189,GJ,Calgary,Alberta,Canada,2021
330 2 AV NE HOUSING,339 FALSHIRE WY NE,2131,GJ,Calgary,Alberta,Canada,2021
333 17 AV NW HOUSING,3401 CENTRE ST NW,1923,GJ,Calgary,Alberta,Canada,2021
339 FALSHIRE WY NE HOUSING,343 WHITLOCK WY NE,91,GJ,Calgary,Alberta,Canada,2021
3401 CENTRE ST NW HOUSING,36 FALMEAD BA NE,592,GJ,Calgary,Alberta,Canada,2021
341 & 343 WHITLOCK WY NE HOUSING,3454 30A AV SE,187,GJ,Calgary,Alberta,Canada,2021
34 & 36 FALMEAD BA NE HOUSING,3456 30A AV SE,174,GJ,Calgary,Alberta,Canada,2021
3454 30A AV SE HOUSING,3456 32A AV SE,149,GJ,Calgary,Alberta,Canada,2021
3456 30A AV SE HOUSING,3461 31A AV SE,190,GJ,Calgary,Alberta,Canada,2021
3456 32A AV SE HOUSING,3461 33A AV SE,163,GJ,Calgary,Alberta,Canada,2021
3461 31A AV SE HOUSING,3462 30A AV SE,238,GJ,Calgary,Alberta,Canada,2021
3461 33A AV SE HOUSING,3462 32A AV SE,197,GJ,Calgary,Alberta,Canada,2021
3462 30A AV SE HOUSING,3463 33A AV SE,224,GJ,Calgary,Alberta,Canada,2021
3462 32A AV SE HOUSING,3466 30 AV SE,201,GJ,Calgary,Alberta,Canada,2021
3463 33A AV SE HOUSING,3464 32A AV SE,214,GJ,Calgary,Alberta,Canada,2021
3466 30A AV SE HOUSING,3467 31A AV SE,238,GJ,Calgary,Alberta,Canada,2021
3466 32A AV SE HOUSING,3469 33A AV SE,244,GJ,Calgary,Alberta,Canada,2021
3467 31A AV SE HOUSING,3470 30A AV SE,216,GJ,Calgary,Alberta,Canada,2021
3469 33A AV SE HOUSING,3473 33A AV SE,212,GJ,Calgary,Alberta,Canada,2021
3470 30A AV SE HOUSING,3474 30A AV SE,104,GJ,Calgary,Alberta,Canada,2021
3473 33A AV SE HOUSING,3477 33A AV SE,95,GJ,Calgary,Alberta,Canada,2021
3474 30A AV SE HOUSING,34 ERIN RIDGE PL SE,93,GJ,Calgary,Alberta,Canada,2021
3477 33A AV SE HOUSING,3534 CEDARILLE DR SW,101,GJ,Calgary,Alberta,Canada,2021
34 ERIN RIDGE PL SE HOUSING,3542 CEDARILLE DR SW,76,GJ,Calgary,Alberta,Canada,2021
3534 & 3536 CEDARILLE DR SW HOUSING,3546 CEDARILLE DR SW,358,GJ,Calgary,Alberta,Canada,2021
3542 & 3544 CEDARILLE DR SW HOUSING,359 WHITLOCK WY NE,213,GJ,Calgary,Alberta,Canada,2021
3546 & 3548 CEDARILLE DR SW HOUSING,3601 28 AV SE,241,GJ,Calgary,Alberta,Canada,2021
357 & 359 WHITLOCK WY NE HOUSING,3605 28 AV SE,159,GJ,Calgary,Alberta,Canada,2021
3601 & 3603 28 AV SE HOUSING,3609 28 AV SE,167,GJ,Calgary,Alberta,Canada,2021
3605 & 3607 28 AV SE HOUSING,3610 CEDARILLE DR SW,214,GJ,Calgary,Alberta,Canada,2021
3609 & 3611 28 AV SE HOUSING,3613 28 AV SE,183,GJ,Calgary,Alberta,Canada,2021
3610 & 3612 CEDARILLE DR SW HOUSING,3617 28 AV SE,187,GJ,Calgary,Alberta,Canada,2021
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,186,GJ,Calgary,Alberta,Canada,2021
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,153,GJ,Calgary,Alberta,Canada,2021
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,133,GJ,Calgary,Alberta,Canada,2021
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,180,GJ,Calgary,Alberta,Canada,2021
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,162,GJ,Calgary,Alberta,Canada,2021
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,173,GJ,Calgary,Alberta,Canada,2021
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,102,GJ,Calgary,Alberta,Canada,2021
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,451,GJ,Calgary,Alberta,Canada,2021
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,82,GJ,Calgary,Alberta,Canada,2021
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,392,GJ,Calgary,Alberta,Canada,2021
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,144,GJ,Calgary,Alberta,Canada,2021
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,247,GJ,Calgary,Alberta,Canada,2021
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,146,GJ,Calgary,Alberta,Canada,2021
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,101,GJ,Calgary,Alberta,Canada,2021
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,346,GJ,Calgary,Alberta,Canada,2021
4012 WORCESTER DR SW HOUSING,40 38A AV SW,350,GJ,Calgary,Alberta,Canada,2021
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,339,GJ,Calgary,Alberta,Canada,2021
40 38A AV SW HOUSING,411 14 ST NW,2456,GJ,Calgary,Alberta,Canada,2021
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,335,GJ,Calgary,Alberta,Canada,2021
411 14 ST NW HOUSING,419 ABADAN PL NE,7000,GJ,Calgary,Alberta,Canada,2021
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,170,GJ,Calgary,Alberta,Canada,2021
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,93,GJ,Calgary,Alberta,Canada,2021
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,1320,GJ,Calgary,Alberta,Canada,2021
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,142,GJ,Calgary,Alberta,Canada,2021
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,163,GJ,Calgary,Alberta,Canada,2021
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,187,GJ,Calgary,Alberta,Canada,2021
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,139,GJ,Calgary,Alberta,Canada,2021
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,152,GJ,Calgary,Alberta,Canada,2021
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,132,GJ,Calgary,Alberta,Canada,2021
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,178,GJ,Calgary,Alberta,Canada,2021
